Адр;Знчн;IP;CR;AR;DR;SP;BR;AC;PS;NZVC;Адр_1;Знчн_2
560;AF40;560;0000;000;0000;000;0000;0000;004;0100;;
560;AF40;561;AF40;560;0040;000;0040;0040;000;0000;;
561;0680;562;0680;561;0680;000;0561;4000;000;0000;;
562;0500;563;0500;562;4000;000;0562;8000;00A;1010;;
563;EEFB;564;EEFB;55F;8000;000;FFFB;8000;00A;1010;55F;8000
564;AF05;565;AF05;564;0005;000;0005;0005;000;0000;;
565;EEF8;566;EEF8;55E;0005;000;FFF8;0005;000;0000;55E;0005
566;AEF5;567;AEF5;55C;0573;000;FFF5;0573;000;0000;;
567;EEF5;568;EEF5;55D;0573;000;FFF5;0573;000;0000;55D;0573
568;AAF4;569;AAF4;573;7564;000;FFF4;7564;000;0000;55D;0574
569;0480;56A;0480;569;0480;000;0569;3AB2;000;0000;;
56A;F401;56B;F401;56A;F401;000;056A;3AB2;000;0000;;
56B;CE04;570;CE04;56B;0570;000;0004;3AB2;000;0000;;
570;855E;571;855E;55E;0004;000;0003;3AB2;000;0000;55E;0004
571;CEF6;568;CEF6;571;0568;000;FFF6;3AB2;000;0000;;
568;AAF4;569;AAF4;574;8563;000;FFF4;8563;008;1000;55D;0575
569;0480;56A;0480;569;0480;000;0569;42B1;003;0011;;
56A;F401;56C;F401;56A;F401;000;0001;42B1;003;0011;;
56C;0400;56D;0400;56C;0400;000;056C;8563;00A;1010;;
56D;7EF1;56E;7EF1;55F;8000;000;FFF1;8563;001;0001;;
56E;F801;56F;F801;56E;F801;000;056E;8563;001;0001;;
56F;EEEF;570;EEEF;55F;8563;000;FFEF;8563;001;0001;55F;8563
570;855E;571;855E;55E;0003;000;0002;8563;001;0001;55E;0003
571;CEF6;568;CEF6;571;0568;000;FFF6;8563;001;0001;;
568;AAF4;569;AAF4;575;0281;000;FFF4;0281;001;0001;55D;0576
569;0480;56A;0480;569;0480;000;0569;8140;009;1001;;
56A;F401;56C;F401;56A;F401;000;0001;8140;009;1001;;
56C;0400;56D;0400;56C;0400;000;056C;0281;003;0011;;
56D;7EF1;56E;7EF1;55F;8563;000;FFF1;0281;000;0000;;
56E;F801;56F;F801;56E;F801;000;056E;0281;000;0000;;
56F;EEEF;570;EEEF;55F;0281;000;FFEF;0281;000;0000;55F;0281
570;855E;571;855E;55E;0002;000;0001;0281;000;0000;55E;0002
571;CEF6;568;CEF6;571;0568;000;FFF6;0281;000;0000;;
568;AAF4;569;AAF4;576;D566;000;FFF4;D566;008;1000;55D;0577
569;0480;56A;0480;569;0480;000;0569;6AB3;000;0000;;
56A;F401;56B;F401;56A;F401;000;056A;6AB3;000;0000;;
56B;CE04;570;CE04;56B;0570;000;0004;6AB3;000;0000;;
570;855E;571;855E;55E;0001;000;0000;6AB3;000;0000;55E;0001
571;CEF6;568;CEF6;571;0568;000;FFF6;6AB3;000;0000;;
568;AAF4;569;AAF4;577;0000;000;FFF4;0000;004;0100;55D;0578
569;0480;56A;0480;569;0480;000;0569;0000;004;0100;;
56A;F401;56B;F401;56A;F401;000;056A;0000;004;0100;;
56B;CE04;570;CE04;56B;0570;000;0004;0000;004;0100;;
570;855E;572;855E;55E;0000;000;FFFF;0000;004;0100;55E;0000
572;0100;573;0100;572;0100;000;0572;0000;004;0100;;
