Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
1B6,0200,1B6,0000,000,0000,000,0000,0000,004,0100
1B6,0200,1B7,0200,1B6,0200,000,01B6,0000,004,0100
1B7,EE1B,1B8,EE1B,1D3,0000,000,001B,0000,004,0100,1D3,0000
1B8,AE18,1B9,AE18,1D1,61A8,000,0018,61A8,000,0000
1B9,0740,1BA,0740,1B9,0740,000,01B9,61A7,001,0001
1BA,0C00,1BB,0C00,7FF,61A7,7FF,01BA,61A7,001,0001,7FF,61A7
1BB,D653,653,D653,7FE,01BC,7FE,D653,61A7,001,0001,7FE,01BC
653,AC01,654,AC01,7FF,61A7,7FE,0001,61A7,001,0001
654,F207,655,F207,654,F207,7FE,0654,61A7,001,0001
655,7E09,656,7E09,65F,031F,7FE,0009,61A7,001,0001
656,F905,65C,F905,656,F905,7FE,0005,61A7,001,0001
65C,AE02,65D,AE02,65F,031F,7FE,0002,031F,001,0001
65D,EC01,65E,EC01,7FF,031F,7FE,0001,031F,001,0001,7FF,031F
65E,0A00,1BC,0A00,7FE,01BC,7FF,065E,031F,001,0001
1BC,0800,1BD,0800,7FF,031F,000,01BC,031F,001,0001
1BD,0700,1BE,0700,1BD,0700,000,01BD,0320,000,0000
1BE,4E14,1BF,4E14,1D3,0000,000,0014,0320,000,0000
1BF,EE13,1C0,EE13,1D3,0320,000,0013,0320,000,0000,1D3,0320
1C0,AE0F,1C1,AE0F,1D0,0034,000,000F,0034,000,0000
1C1,0700,1C2,0700,1C1,0700,000,01C1,0035,000,0000
1C2,0C00,1C3,0C00,7FF,0035,7FF,01C2,0035,000,0000,7FF,0035
1C3,D653,653,D653,7FE,01C4,7FE,D653,0035,000,0000,7FE,01C4
653,AC01,654,AC01,7FF,0035,7FE,0001,0035,000,0000
654,F207,655,F207,654,F207,7FE,0654,0035,000,0000
655,7E09,656,7E09,65F,031F,7FE,0009,0035,008,1000
656,F905,657,F905,656,F905,7FE,0656,0035,008,1000
657,4C01,658,4C01,7FF,0035,7FE,0001,006A,000,0000
658,4C01,659,4C01,7FF,0035,7FE,0001,009F,000,0000
659,4C01,65A,4C01,7FF,0035,7FE,0001,00D4,000,0000
65A,6E05,65B,6E05,660,0025,7FE,0005,00AF,001,0001
65B,CE01,65D,CE01,65B,065D,7FE,0001,00AF,001,0001
65D,EC01,65E,EC01,7FF,00AF,7FE,0001,00AF,001,0001,7FF,00AF
65E,0A00,1C4,0A00,7FE,01C4,7FF,065E,00AF,001,0001
1C4,0800,1C5,0800,7FF,00AF,000,01C4,00AF,001,0001
1C5,6E0D,1C6,6E0D,1D3,0320,000,000D,FD8F,008,1000
1C6,EE0C,1C7,EE0C,1D3,FD8F,000,000C,FD8F,008,1000,1D3,FD8F
1C7,AE0A,1C8,AE0A,1D2,AAAA,000,000A,AAAA,008,1000
1C8,0700,1C9,0700,1C8,0700,000,01C8,AAAB,008,1000
1C9,0C00,1CA,0C00,7FF,AAAB,7FF,01C9,AAAB,008,1000,7FF,AAAB
1CA,D653,653,D653,7FE,01CB,7FE,D653,AAAB,008,1000,7FE,01CB
653,AC01,654,AC01,7FF,AAAB,7FE,0001,AAAB,008,1000
654,F207,65C,F207,654,F207,7FE,0007,AAAB,008,1000
65C,AE02,65D,AE02,65F,031F,7FE,0002,031F,000,0000
65D,EC01,65E,EC01,7FF,031F,7FE,0001,031F,000,0000,7FF,031F
65E,0A00,1CB,0A00,7FE,01CB,7FF,065E,031F,000,0000
1CB,0800,1CC,0800,7FF,031F,000,01CB,031F,000,0000
1CC,0700,1CD,0700,1CC,0700,000,01CC,0320,000,0000
1CD,6E05,1CE,6E05,1D3,FD8F,000,0005,0591,000,0000
1CE,EE04,1CF,EE04,1D3,0591,000,0004,0591,000,0000,1D3,0591
1CF,0100,1D0,0100,1CF,0100,000,01CF,0591,000,0000
